# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     389     0.16511     0.00000    -0.06869    0.531347731   -0.185091179   -0.716438909
     1     389    -0.16511     0.00000     0.06869    0.531347731   -0.185091177   -0.716438908
     1     389     0.16511     0.00000    -0.03352    0.531329265   -0.193501020   -0.724830285
     1     389    -0.16511     0.00000     0.03352    0.531329265   -0.193501019   -0.724830284
     1     389     0.16511     0.04223     0.00165    0.529224665   -0.182397058   -0.711621723
     1     389    -0.16511     0.04223    -0.00165    0.529224665   -0.157622839   -0.686847504
     1     389     0.16511     0.04223     0.03682    0.529459832   -0.170705759   -0.700165591
     1     389    -0.16511     0.04223    -0.03682    0.529459832   -0.180461625   -0.709921457
     1     389     0.16511     0.04223    -0.06869    0.529081753   -0.153832913   -0.682914667
     1     389    -0.16511     0.04223     0.06869    0.529081753   -0.179102995   -0.708184749
     1     389     0.16511     0.04223    -0.03352    0.528850379   -0.171574105   -0.700424484
     1     389    -0.16511     0.04223     0.03352    0.528850379   -0.160280514   -0.689130893
     1     389     0.16511     0.08445     0.00165    0.533893024   -0.139127579   -0.673020603
     1     389    -0.16511     0.08445    -0.00165    0.533893024   -0.120672709   -0.654565733
     1     389     0.16511     0.08445     0.03682    0.534684117   -0.119179200   -0.653863317
     1     389    -0.16511     0.08445    -0.03682    0.534684117   -0.122216582   -0.656900699
     1     389     0.16511     0.08445    -0.06869    0.534474866   -0.126682767   -0.661157633
     1     389    -0.16511     0.08445     0.06869    0.534474866   -0.146220173   -0.680695039
     1     389     0.16511     0.08445    -0.03352    0.533670987   -0.147258569   -0.680929557
     1     389    -0.16511     0.08445     0.03352    0.533670987   -0.139928042   -0.673599030
     1     389     0.16511     0.12668     0.00165    0.519778542   -0.129478886   -0.649257428
     1     389    -0.16511     0.12668    -0.00165    0.519778542   -0.135675749   -0.655454291
     1     389     0.16511     0.12668     0.03682    0.520269559   -0.128713532   -0.648983091
     1     389    -0.16511     0.12668    -0.03682    0.520269559   -0.127880480   -0.648150039
     1     389     0.16511     0.12668    -0.06869    0.520959913   -0.130353093   -0.651313006
     1     389    -0.16511     0.12668     0.06869    0.520959913   -0.126390821   -0.647350734
     1     389     0.16511     0.12668    -0.03352    0.520432614   -0.136260780   -0.656693394
     1     389    -0.16511     0.12668     0.03352    0.520432614   -0.139217057   -0.659649671
     1     389     0.16511     0.16890     0.00165    0.521060648   -0.130634647   -0.651695295
     1     389    -0.16511     0.16890    -0.00165    0.521060648   -0.089059188   -0.610119836
     1     389     0.16511     0.16890     0.03682    0.522108557   -0.064117543   -0.586226100
     1     389    -0.16511     0.16890    -0.03682    0.522108557   -0.080800143   -0.602908700
     1     389     0.16511     0.16890    -0.06869    0.522844287   -0.063520192   -0.586364479
     1     389    -0.16511     0.16890     0.06869    0.522844287   -0.129155481   -0.651999768
     1     389     0.16511     0.16890    -0.03352    0.521788975   -0.123793262   -0.645582237
     1     389    -0.16511     0.16890     0.03352    0.521788975   -0.094438679   -0.616227654
     1     389     0.16511     0.21113     0.00165    0.555634896    0.015603600   -0.540031296
     1     389    -0.16511     0.21113    -0.00165    0.555634896    0.015600023   -0.540034873
     1     389     0.16511     0.21113     0.03682    0.557111236    0.047411938   -0.509699297
     1     389    -0.16511     0.21113    -0.03682    0.557111236    0.047406635   -0.509704600
     1     389     0.16511     0.21113    -0.06869    0.557462948    0.000900635   -0.556562313
     1     389    -0.16511     0.21113     0.06869    0.557462948    0.000904114   -0.556558834
     1     389     0.16511     0.21113    -0.03352    0.555967619   -0.018993359   -0.574960978
     1     389    -0.16511     0.21113     0.03352    0.555967619   -0.018998344   -0.574965963
     1     389     0.16511    -0.16890     0.00165    0.521051544   -0.088966126   -0.610017670
     1     389    -0.16511    -0.16890    -0.00165    0.521051544   -0.130555046   -0.651606590
     1     389     0.16511    -0.16890     0.03682    0.522099395   -0.080762562   -0.602861957
     1     389    -0.16511    -0.16890    -0.03682    0.522099395   -0.064068797   -0.586168192
     1     389     0.16511    -0.16890    -0.06869    0.522835104   -0.129077636   -0.651912740
     1     389    -0.16511    -0.16890     0.06869    0.522835104   -0.063454351   -0.586289455
